GeneName	log2FoldChange	adjustedpvalue
KDM6B	1.758734536	3.59E-05
ST6GALNAC4	1.754025422	6.99E-11
FKBP8	1.75322803	1.77E-05
PNPLA3	1.751333555	0.002822947
SLC7A11	1.750871327	0.003963319
TXNIP	1.749820863	1.07E-08
PRKG2	1.749536857	0.001092803
HSPA6	1.747807877	4.19E-08
KRTCAP3	1.746002451	0.000296584
TSC22D3	1.745994381	1.09E-05
SERINC4	1.743062445	0.000274167
FGFR1OP2	1.742556635	7.81E-08
FAM21A	1.740594931	5.87E-05
TOR1AIP2	1.739390756	5.54E-05
SEMA7A	1.739119164	6.54E-05
ARF4	1.738851628	2.89E-05
TMEM133	1.738284863	0.007163993
PRR5	1.737593227	0.000259633
TNXB	1.737260359	0.000167295
HBQ1	1.736839516	0.000000371
ARRDC3-AS1	1.736552367	0.000313488
HLA-H	1.735178008	0.014935017
ALS2CR11	1.734831339	0.036514798
FANK1	1.734785741	0.006985699
TNFRSF10D	1.733839434	0.020975836
GCH1	1.733670938	0.00889247
CEBPG	1.731809039	0.000760185
GRINA	1.731002198	8.34E-09
HIPK1-AS1	1.730152203	0.009848445
CLCN3	1.727482495	4.07E-06
RPL21P44	1.727385053	0.044541519
TAGLN	1.726893986	0.000259804
EIF1B	1.726881472	5.19E-11
EFCC1	1.726364485	0.032717388
HIST1H4H	1.724594214	0.022523596
SIK3	1.724590918	0.003557775
CRY2	1.724210669	6.68E-07
GCLM	1.721683619	0.00023039
ELMO3	1.721016668	1.61E-09
TUBB2B	1.718825446	0.002255778
WWC3	1.718820763	0.000168121
MGEA5	1.718752566	7.30E-09
MKNK1-AS1	1.717939951	0.012704084
PRDM1	1.713023571	0.009306734
RAP1GAP	1.712622302	7.23E-07
IRF9	1.710584501	0.000034739
ZFAND2B	1.709788226	5.19E-06
CBLN3	1.709746553	9.02E-05
RSRP1	1.709393186	1.17E-09
ATP6V1D	1.708164603	5.03E-10
ANKRD18A	1.707056463	0.000206982
TMEM63B	1.70582424	3.73E-06
PAPPA	1.705228356	0.010309994
MYO5B	1.704741216	0.000408879
GDI1	1.700586794	7.88E-11
RN7SL2	1.698983313	0.000163495
KRT2	1.698054267	0.043362101
REEP4	1.695658115	0.000139244
HEXIM2	1.695595686	8.86E-05
ATP6V1B2	1.694580281	6.12E-06
ABCB6	1.694499707	6.68E-05
FTH1P3	1.693182603	0.00131586
TMBIM1	1.690628704	5.01E-08
RMRP	1.689651653	0.010597635
DCAF11	1.68894949	1.24E-10
EHBP1L1	1.688212409	4.38E-09
GET4	1.688072954	7.15E-07
FAS	1.684656778	1.36E-06
KAT2B	1.684404939	4.52E-05
PLD6	1.683000646	1.18E-09
DHRS13	1.681483829	3.75E-08
NRIR	1.679128904	0.030437913
KCNQ1OT1	1.6783699	0.005302486
CTSL	1.676824107	4.60E-05
GOLGA7	1.676213819	1.62E-09
RMND5A	1.675628188	0.000831486
GYPA	1.674082808	4.66E-10
FAM13A	1.673998361	3.33E-10
LNX2	1.672530151	0.002386949
SLC22A23	1.6715279	0.001041214
CSRNP1	1.665633658	0.007296081
HSPA7	1.662482224	0.001877075
ATP6V0C	1.661310121	5.45E-07
CLIP1	1.660755624	0.010486779
PLEKHM1P1	1.66009642	0.001349886
RAB3IP	1.660095958	5.58E-05
FIS1	1.657936767	5.08E-06
ATXN7	1.657193163	0.000196284
TBC1D17	1.656861243	0.000203842
BTBD19	1.656459614	0.00863736
UBB	1.655135722	0.001859782
LOC100131496	1.654680406	0.017427086
RAB3IL1	1.654384463	1.26E-05
EHD1	1.654003797	0.000212309
ZNF805	1.652315578	1.82E-08
TMEM55B	1.65231184	5.51E-05
OTUD5	1.65057793	2.79E-05
MARK3	1.65015781	5.85E-07
SLC16A1	1.65006953	0.000287774
PHF1	1.649029813	0.000370496
HMBS	1.648648176	0.000103636
FAM65C	1.647184184	1.98E-05
UBE2V1	1.644585654	0.000045139
HERC2P2	1.644532727	8.91E-08
SCN4A	1.644288656	0.044957029
CREG1	1.643367971	0.003251859
AGAP11	1.642033464	0.026285004
PCMTD1	1.635097068	0.000343114
ABCA1	1.63427389	0.043773596
CTSB	1.632483372	9.28E-07
GDPD5	1.632160161	2.69E-08
GSDMB	1.632106462	0.000172201
SMG1P1	1.630348233	0.00020934
SGTB	1.630245748	0.001018867
APPL2	1.628783622	2.84E-08
LOC101929243	1.625815357	0.000401438
UBALD2	1.625671364	8.94E-06
AEN	1.624807374	9.11E-05
RHOB	1.624650685	0.004043329
APOBEC3H	1.624612454	0.036672322
RAB11FIP4	1.624089142	0.022380063
TNRC6B	1.622936881	1.44E-05
SNX21	1.619961018	3.35E-05
MED13L	1.61963921	0.000743465
C17orf99	1.618695138	0.000906748
JMJD1C-AS1	1.618434807	0.031564337
LINC01481	1.617653156	0.000232617
DYRK1B	1.614887247	0.001318121
CRIPT	1.614871086	0.000321358
LOC100190986	1.614072711	0.000530676
FECH	1.613779862	0.000268294
SLC12A7	1.613429624	3.42E-07
LOC100289511	1.612267846	0.00869323
ITSN1	1.610465723	0.0022137
NPIPB4	1.610174516	0.000801601
VAMP5	1.609004943	0.014001955
ADM	1.607098992	0.0027016
TBC1D15	1.606639814	1.90E-05
LINC00115	1.604996357	0.000943223
EPN2-IT1	1.604766195	0.042353372
WIPI1	1.604489495	2.17E-07
TAX1BP1	1.602755452	0.000503315
GCLC	1.602218555	0.000767076
ZRANB1	1.601555186	0.000039287
FCHO2	1.601123121	0.000144213
CHST2	1.60038169	8.90E-07
NINJ2	1.599642206	0.009332157
LINC01128	1.599279856	1.63E-05
MEGF9	1.59875468	0.001433776
AKAP8L	1.598688843	2.87E-05
CCDC9	1.598646999	0.00044383
ACRC	1.598406755	0.013980021
SLC30A10	1.597157324	0.001889123
FCGR2B	1.595639388	0.002019067
FGD6	1.595432156	0.00013502
SPAG9	1.59418829	8.56E-05
MYNN	1.593993761	0.000662597
EIF1AY	1.590249434	7.81E-08
BMF	1.589211658	0.001038973
HIST1H4A	1.589202418	0.044609615
AGO2	1.589079479	5.61E-09
FURIN	1.584306149	0.000958118
TOP1	1.583658312	0.000426514
AP5Z1	1.580455368	0.000508258
TSC1	1.580009905	6.99E-05
FBXO32	1.579120071	0.021505827
COLQ	1.578932902	0.010400769
STRADB	1.578709911	0.000930461
CLDN15	1.578002729	4.42E-05
PCNT	1.575272686	0.000426514
IGFALS	1.574458617	0.04083938
UBE2O	1.572686718	8.23E-05
ARHGEF19	1.572251844	0.013481916
ITLN1	1.570908598	0.000319692
APLNR	1.570718706	0.000553889
HSPA1A	1.569646834	0.005747865
PANK3	1.566227145	2.16E-07
PVRIG	1.566156326	0.026051308
RAB6B	1.561363356	4.63E-09
STXBP3	1.561324551	0.000957575
LOC285074	1.560334213	0.000039287
CCDC144A	1.559921662	0.000155597
GLRX5	1.557990525	0.000733167
FAM20B	1.557503514	5.24E-05
TMEM241	1.557430622	0.000513247
UBN2	1.556817174	7.79E-07
CD247	1.555919604	0.020247131
LANCL3	1.554669398	2.29E-06
LOC102723582	1.554024133	0.035292692
SIAH2	1.552596931	0.004105725
HBBP1	1.552407772	0.000113956
DCUN1D1	1.552256328	0.001322079
PCK1	1.548703327	0.002675447
NEK7	1.548241995	0.000682925
CEACAM22P	1.546021091	0.002225738
FZD5	1.5455007	6.10E-07
CTSD	1.544174688	1.04E-06
KLF6	1.542188097	6.71E-05
BCAR3	1.540122845	0.013963714
SLC26A4	1.539374152	0.012079236
GTPBP1	1.538688071	2.25E-09
AGAP7P	1.538106519	0.006005958
NEDD4L	1.537146474	0.000896782
CISD2	1.537113284	0.000174357
CDC42EP2	1.537029363	0.008863364
GYPB	1.536401407	0.000104174
HIST1H3A	1.535766318	0.036270138
DUSP5	1.535737595	0.002268223
FAM134A	1.534401904	7.18E-05
TMPRSS13	1.531523526	0.037213538
FAM117A	1.531069226	0.000069751
TRIM59	1.531068685	8.03E-08
HYLS1	1.530851709	1.02E-05
C2CD2L	1.530065966	1.93E-07
CREBBP	1.526426177	0.004630121
HIST1H4C	1.526161725	0.003919457
ZFAND6	1.52316382	0.000661197
KLF7	1.522125778	4.20E-05
MPP1	1.521295664	3.02E-06
OSBPL11	1.521174382	0.0071262
OFD1	1.518754342	6.64E-05
MAT2B	1.518351521	0.004443642
ZNF143	1.517173001	3.88E-08
PNPLA8	1.516161132	7.23E-05
QSOX2	1.515749363	8.79E-06
FOXO3B	1.51393015	0.006340738
HSPA13	1.513897671	0.001083171
ANKLE1	1.513457498	7.33E-05
PFKFB2	1.512545937	1.15E-05
MSRB1	1.512073378	2.74E-05
KIAA0355	1.511989657	4.51E-06
HDAC5	1.511973985	0.000857661
XRN1	1.5117954	0.000128998
ACHE	1.511258697	1.54E-05
MMD	1.510564549	3.42E-05
S100A10	1.509609944	0.002511052
RPL23AP64	1.508652357	0.004630121
STK11	1.508290624	6.85E-06
NLGN3	1.507689702	0.010874494
RPL23AP87	1.503695102	0.013459755
CPM	1.500521789	0.042787935
TTPAL	1.49949906	0.009306734
ZNF460	1.499129768	0.000224456
ASH1L	1.499009353	1.58E-05
LOC101927759	1.498426765	0.010530501
LBH	1.49760009	1.34E-08
ST6GALNAC6	1.496694174	2.52E-08
MGST3	1.496354613	0.000483419
OSBP2	1.495743896	0.000049237
NHLRC4	1.49549737	1.64E-05
LOC100289230	1.495439697	0.000485612
CACNA1I	1.494084109	0.0009769
RAD23A	1.492771849	3.93E-05
MBP	1.491836116	4.03E-06
DCTN4	1.490403949	0.000376182
AGAP5	1.489808458	0.000343114
HERC2P3	1.489147608	1.72E-06
GZF1	1.488230526	4.25E-05
PRDX5	1.488128653	0.003440505
RAB5A	1.488105605	8.58E-06
SLC6A9	1.487063188	0.008991611
CITED2	1.48696472	0.000682076
LINC00853	1.485371875	0.013793411
SNX29	1.482383702	3.51E-05
ZBTB7B	1.479947111	5.82E-08
IRGQ	1.478291147	2.63E-06
RPS15AP10	1.47822802	0.016724017
LGALS3	1.477198213	0.00015217
RGS3	1.475099779	0.001477393
TUBB1	1.473273588	0.002125508
FCGR2C	1.473060875	0.028632737
CATSPERG	1.472705772	0.038557449
NDUFV2-AS1	1.471544513	0.042839651
TPT1-AS1	1.469171466	0.00041917
USP9X	1.465151563	1.17E-05
FRYL	1.46495902	0.000295322
BIRC2	1.464836329	0.00556588
RAD51-AS1	1.462018356	0.000196766
NPIPB5	1.461726433	0.000698838
FAM83D	1.460039431	0.000000033
DYSF	1.459352136	0.010716811
TPP1	1.457837447	6.76E-06
LOC102723828	1.456047843	0.04591223
RN7SL1	1.455791672	0.00054913
MST1	1.45487049	2.63E-06
CFAP58-AS1	1.454396	0.01373058
HIST1H2AE	1.451584043	0.017605739
CNTNAP1	1.446773054	0.002773593
BRI3	1.444660198	3.20E-05
CLK4	1.442750869	7.09E-07
MFSD2B	1.439651604	0.00043169
ATXN1	1.438792699	0.015287378
ZCCHC8	1.437687807	0.000617367
RABGAP1L	1.435718246	2.75E-07
ERMAP	1.434949554	0.001402286
MFHAS1	1.434861803	2.68E-05
IFIT5	1.434634183	0.019360747
EPG5	1.434051459	2.59E-05
WSB1	1.433843052	3.81E-05
ZNF217	1.433838283	0.000833318
MIR324	1.433032494	0.030275639
ZNF653	1.432535831	0.012950357
FBXL20	1.43178529	1.04E-05
KDM6A	1.431498944	0.000168512
CALCOCO2	1.430804336	0.000174335
ZNF767P	1.428757243	3.21E-06
NBR1	1.428062354	0.001569384
FAM53C	1.4270002	0.002336065
MRC2	1.424657435	0.007123497
HYAL1	1.421868076	0.00241474
IFI30	1.421359954	0.001985813
UNC5CL	1.421056413	0.001877075
TMUB2	1.420338685	0.000408879
DYRK1A	1.417791377	7.43E-05
GOLGA3	1.415714004	0.000007999
VAMP2	1.413477792	9.21E-06
NFE2	1.413257717	0.002679968
CLCN6	1.411642502	3.59E-05
MED25	1.411577352	1.02E-05
CRLF3	1.409405066	9.37E-06
STX11	1.409351831	0.002993955
HCG27	1.408939933	0.043773596
VPS13B	1.408002692	0.000941163
FBXO7	1.40770283	4.32E-05
RDH11	1.406724489	1.29E-05
DNASE1	1.406585694	0.000964225
MEF2D	1.406280528	0.000070454
KIAA0922	1.405159248	0.001088818
PSME4	1.404029066	0.000340136
FAM21EP	1.404016378	0.003871128
FEM1C	1.403489552	0.0007003
BTG3	1.401492652	0.000002192
LRRN2	1.401263472	0.013096184
NPRL3	1.401235444	3.34E-05
MFAP3L	1.400750348	0.021917821
SLC11A2	1.399678666	1.06E-07
SERINC2	1.399581866	1.99E-05
ADCY5	1.399250227	0.03981658
KBTBD2	1.39898161	1.81E-05
METTL4	1.3971218	1.92E-06
VSIG10L	1.395649711	0.025545074
NFAT5	1.395160558	0.000168894
CIR1	1.39492559	0.000558388
MED13	1.393969165	0.000021524
PCMTD2	1.393877207	0.009930428
MAP3K8	1.393792671	0.02126016
DENND4A	1.393440524	0.005161812
AMIGO3	1.392701293	5.39E-05
HIST1H2BH	1.391935249	0.004094812
H2AFJ	1.391856095	4.87E-07
LOC146880	1.391043755	0.014100894
CTNNAL1	1.391020537	6.73E-05
DYRK3	1.388381869	0.000403385
PIKFYVE	1.386181067	1.14E-05
CDK11A	1.385680505	0.000214422
ZMIZ1	1.384895449	1.95E-07
GUSBP11	1.384578834	1.87E-05
USP7	1.384197548	0.001929508
CR2	1.383888134	0.00248813
LOC101927018	1.382668181	0.037521456
TTC25	1.38191013	0.036245841
HARBI1	1.380898718	0.005628958
PRKAB2	1.380299934	0.00021735
HPS1	1.380063329	0.007211344
UNKL	1.379586498	3.52E-07
SNORD97	1.379542081	0.044852013
TMEM56	1.379290751	4.08E-06
IER5	1.379166402	2.01E-07
FTX	1.378978856	0.007123497
HAGH	1.378407013	1.96E-07
CMAS	1.378317466	0.000687372
ADCY10	1.378207014	0.021278382
NRARP	1.377147271	0.000369224
C1GALT1	1.375447062	3.18E-07
DPM2	1.375389238	0.0007003
UBC	1.375262818	0.000298211
KYAT1	1.374976848	0.012878652
FRMD4A	1.374494785	0.029019945
MAP3K2	1.374436147	0.000310098
CIDECP	1.372826432	0.000861615
FOSL2	1.372769625	0.001719374
ZBTB7A	1.372530107	5.88E-07
PRKD2	1.371638531	9.63E-06
TVP23B	1.371412532	0.000348563
RAB5B	1.371000986	0.000166012
SSBP3-AS1	1.370919175	0.000259988
C5	1.37055552	0.020923353
FRMD5	1.37043249	0.028061546
ENDOD1	1.369582804	0.012831086
GALNT4	1.369569758	0.016113828
RAPGEFL1	1.368412973	0.018212367
C21orf58	1.368387929	6.35E-06
PIP4K2A	1.36689688	0.00054089
CHIC2	1.366398203	0.00498292
LCOR	1.365974341	8.32E-07
PIGQ	1.364797444	4.83E-07
AGAP6	1.364432198	0.000117458
PAQR6	1.363877995	0.024830136
PTOV1-AS1	1.363399649	0.000261469
PLEKHH3	1.36324503	0.001422835
RAB9A	1.362983784	0.004048574
GOLGA4	1.362864114	5.86E-06
NPIPB3	1.362547813	0.003875393
TMEM59	1.361929664	0.000481946
SNORD59A	1.360217776	0.035674876
PARP12	1.358249669	0.004310269
C22orf24	1.357186881	0.041780728
SLC16A4	1.356432897	0.020980663
IP6K1	1.356426683	0.006030163
TESC	1.355161434	0.000317185
C16orf46	1.354423325	0.033562159
DCP1B	1.354053951	0.001080946
SNX22	1.352297767	2.59E-05
HIPK1	1.352149531	0.000484104
USP20	1.351570704	0.000959802
IGF2R	1.350070468	0.000867351
EBLN2	1.349977446	0.030437913
ARL6IP1	1.349921635	7.60E-06
DNAJB1	1.349909268	6.25E-05
KMT2C	1.348964538	2.31E-06
TET3	1.348516436	1.50E-05
POLL	1.34769888	0.000154458
C2orf48	1.347039553	0.000332204
N4BP2L2-IT2	1.346898675	0.00151214
ELL2	1.344862962	5.44E-06
FAM13A-AS1	1.344726514	0.010836132
CCDC144B	1.344577992	4.23E-05
NR1D2	1.344364391	3.44E-05
SCART1	1.343901382	0.00399982
FAM89B	1.343831128	0.00013696
USP15	1.343806015	0.000181658
NR1H2	1.343301681	4.89E-05
PPM1D	1.34306021	0.000177734
TMEM56-RWDD3	1.342581688	0.00117011
WDR81	1.341867665	0.002737037
AKT1S1	1.341465862	0.00129081
ARRDC4	1.341458431	3.83E-05
SH3BP5L	1.339820414	0.000364798
MRFAP1L1	1.339670319	9.76E-05
SLC36A1	1.337965416	2.26E-05
NT5C3A	1.336470672	0.002688123
KLHDC8B	1.335908452	8.64E-05
INSIG1	1.334975185	7.43E-07
WASF2	1.333596501	0.002092827
MAP2K7	1.333209901	0.004120992
LOC729737	1.331199959	0.001782058
SH2B3	1.331135424	0.008159683
C5orf56	1.330270822	0.002818231
SYCP3	1.3297392	0.049769151
KPNA1	1.328721172	0.000415547
ATG2B	1.328416806	0.00059425
PKD1L3	1.327432384	0.002688123
SIDT2	1.327421429	0.003639815
UVSSA	1.327281994	5.09E-05
TROVE2	1.326083769	6.02E-06
ASH1L-AS1	1.325507311	0.000510688
ANXA7	1.325499805	0.001367617
MOB2	1.32421002	0.002267687
WHAMM	1.323912769	2.61E-06
NAPA	1.32338695	0.000121877
SYVN1	1.322047148	0.003138972
H1FX	1.321920229	0.002757817
MTHFR	1.321783843	2.55E-06
ACP5	1.320932207	0.000438361
SAP30L-AS1	1.320506833	0.000661147
MAGIX	1.319383998	0.004192823
BLOC1S2	1.31843029	1.73E-06
TMEM242	1.318343319	0.000558207
MFN2	1.317488485	0.00241155
CROCCP2	1.317443292	9.65E-05
AFTPH	1.317427477	0.00461621
ZBED6	1.316906388	1.99E-05
MXD4	1.316876322	0.000038401
AHSP	1.316685983	0.000102642
KLHDC2	1.316060278	0.003413381
C17orf107	1.315643056	0.030872122
PPME1	1.314825785	6.82E-06
DDHD1	1.313874921	3.98E-06
TNFRSF13C	1.313300101	0.033018284
CYLD	1.313226865	0.003094043
BCAR1	1.312507351	0.000661147
PIK3CA	1.310599444	0.000544159
FBXL3	1.310088901	0.005679809
RIC3	1.307580923	0.041005827
BAG1	1.307450143	0.008079586
GATAD2B	1.306926525	0.00472031
U2AF1L4	1.304870082	0.000862838
WDTC1	1.304509825	0.000275896
PSAP	1.302437935	0.000076671
TRPV2	1.30206047	0.008740664
SVBP	1.301873682	0.001533995
CBFA2T2	1.300778608	0.012133916
JHDM1D-AS1	1.295396091	0.023732707
AKAP9	1.294670201	0.00088307
PITHD1	1.29465285	0.000752307
ADCY10P1	1.293741724	0.008852524
CDK17	1.29326883	4.37E-06
ESPN	1.292114163	0.003048589
ZFYVE27	1.292093932	0.00019229
KLHL15	1.292085101	0.000149749
C11orf71	1.291263968	3.13E-05
TMEM167B	1.290283341	3.81E-05
RGL4	1.290061002	7.51E-05
CCDC71L	1.289105145	0.006348272
RELA	1.288522533	0.001075914
OSBPL2	1.287920209	6.23E-06
CA3	1.287799892	0.008091053
SLC3A2	1.287555354	0.004244018
STAM2	1.287508909	0.018078474
CCDC117	1.287253652	4.40E-05
PPP1R15B	1.287233952	0.000297562
PPP3R1	1.287165515	0.014096444
ZNF19	1.285809817	0.021988271
STAT6	1.285669659	0.017105999
KMT5B	1.28523738	0.000759654
SLC1A5	1.284583603	0.018615031
GNRH1	1.282426749	0.003349017
SRGAP2	1.281861102	0.00628258
PDK4	1.281580877	0.035674309
OTUD7B	1.281253959	0.00054089
ZNF394	1.279939827	0.003406619
CCDC28A	1.279670366	0.000880729
TNIP1	1.279639799	0.003494869
SPATA9	1.278738105	0.00013318
ATF7IP	1.277702834	0.000172679
BMS1P6	1.276656792	0.00018441
C6orf1	1.275922084	0.01102063
PTMS	1.275241319	0.025006483
NUTM2A-AS1	1.274809153	0.000410756
ST3GAL2	1.274384376	0.000103251
MORC3	1.273669801	1.98E-05
JUNB	1.2735058	0.000707199
RNF139-AS1	1.273484467	0.001977888
IDS	1.273161496	0.000905755
CYB5R1	1.271850177	7.63E-05
ZFAND2A	1.27121434	0.012159296
FAM184B	1.271085481	0.007458824
NCEH1	1.270835665	0.000496662
KLF13	1.270188805	0.000347453
MASP2	1.269950395	0.02359676
BLVRB	1.268136659	0.00013696
UIMC1	1.267363564	0.010369855
ENTPD5	1.266761527	0.000418287
CRY1	1.266187012	0.000305408
SLC10A3	1.266123181	0.000814449
STAM-AS1	1.265442622	0.005434367
EIF5	1.265356673	0.00277023
LINC00894	1.264454742	0.000576062
KDM5B	1.264039694	1.76E-05
TALDO1	1.263961087	0.001782058
SLC35F6	1.263839745	0.008379378
TXN	1.263822571	9.22E-05
KANK2	1.261561689	0.000976877
CDKL3	1.261004998	0.014888273
ABHD3	1.260726092	0.000332204
FAM76B	1.260186963	5.34E-05
BRD8	1.259820891	2.30E-05
CCDC174	1.257382176	0.000426514
NAPG	1.256072875	0.000638534
PTPRJ	1.255143468	9.98E-06
KCTD9	1.254681917	2.89E-05
SLC25A42	1.254502483	3.51E-05
NFE2L2	1.254488585	0.024731838
C6orf106	1.254247378	0.000372764
GOT1	1.252855358	0.007186677
ERCC6	1.252495561	0.000342372
KIAA2026	1.252286177	0.001392988
MAPK6	1.251476142	0.00449125
SP2	1.251415688	0.002333562
DNASE2	1.250016462	0.000101802
ACSL1	1.249698692	1.33E-05
SCARNA9	1.249108598	0.008079586
C20orf196	1.246558004	0.012878652
ZMYM5	1.24563616	0.000860025
TMEM189	1.245559768	0.005872709
ATP6V1E1	1.245362752	0.000167612
CRTC2	1.245261268	0.003899625
EPM2AIP1	1.244098503	3.07E-05
ARIH2OS	1.243641583	0.048983849
CPEB2	1.243530375	0.000784287
ITM2B	1.243332152	0.000321602
EPN2	1.243195266	1.06E-05
SDCBP	1.241155026	3.67E-05
KCNQ4	1.239300724	0.002641041
RBM33	1.238982922	0.00000492
SLC6A8	1.238973575	0.001175185
VPS26A	1.238677815	0.007211344
PPDPF	1.2381378	3.90E-05
FAM210B	1.237334165	2.07E-05
IGF2BP2	1.236049061	0.001530681
TSKU	1.235491566	2.45E-05
CCNL1	1.23544073	1.78E-05
LOC100505915	1.234081173	0.015915764
LINC01089	1.234021351	0.000183724
KCTD20	1.233534447	0.003903598
E2F7	1.233361862	7.73E-06
ANKRA2	1.233137783	0.000089322
LRRC29	1.232752101	0.028835249
ACBD7	1.231745267	0.017692336
PNKD	1.231180776	0.013285135
HIST1H2BC	1.230949077	0.022974128
C5orf30	1.230853915	1.28E-05
IRF2BP2	1.230635944	0.004320242
STX5	1.230604669	0.001320975
HSPA5	1.229732959	0.008388336
NECAB1	1.229123713	7.21E-05
LYL1	1.227406809	0.002963769
GHITM	1.221480571	0.004441672
MIRLET7DHG	1.220550344	0.015721312
ECT2	1.219448427	6.81E-06
SMG1P2	1.219376715	0.017233892
INTS6-AS1	1.217642168	0.012705587
KMT2D	1.217576696	6.60E-05
GPX1	1.217209989	0.045901001
CPOX	1.21595767	1.77E-05
TMEM245	1.215405769	0.000132928
B4GALT5	1.214591527	0.000295322
MICAL3	1.21441463	0.000136991
ZNF175	1.213437332	2.56E-05
TNFAIP3	1.211909651	0.005699462
CDC37L1	1.211213413	0.007211344
HIST1H2BE	1.209813486	0.041097328
CIT	1.209282621	1.18E-05
DBP	1.209214951	0.00528059
RC3H1	1.20889046	0.000192527
LOC105371414	1.207835035	0.008284562
LINC01530	1.20740067	0.016311672
ANK1	1.206075455	0.00054089
MLXIP	1.205862756	0.000623265
BROX	1.205056474	0.003151107
ATP6V0A1	1.204941925	1.80E-05
LOC100652768	1.204290625	0.034827521
TDP2	1.202216542	0.031208074
RCL1	1.202179822	0.001918321
TAF7	1.201556562	0.000112142
PAN3	1.201415565	0.000859424
RNF123	1.201188689	0.003598739
ZFY	1.201166804	0.017445778
ATG13	1.200520308	0.022241502
SMG1P6	1.19923549	0.002523294
WIPI2	1.198656708	0.004276405
CHMP5	1.198209132	0.000282777
MIDN	1.197897641	0.000117654
LOC401320	1.197415137	0.002246032
SARS	1.195732638	0.005671511
GFPT1	1.195210139	0.000899286
SMIM1	1.19473105	4.14E-05
MKLN1	1.193922642	3.37E-05
SESN1	1.193607823	0.000682925
C10orf12	1.191553623	4.90E-05
GAS2L3	1.191295879	2.90E-05
RAP2A	1.190861511	0.008637828
USP38	1.190707852	0.005139058
FOXO1	1.190652549	0.000702629
POFUT2	1.190169016	4.71E-05
NUP153	1.189318012	0.005274787
FAM234B	1.189293285	3.32E-05
TGIF1	1.187806176	0.003470938
SUCO	1.18777527	0.003904528
LOC613037	1.185965099	0.001624935
SH3GL1	1.185414124	0.002467922
LGR4	1.183983663	7.85E-05
LOC728323	1.183811684	0.013323791
ATP1B2	1.183743425	2.35E-05
GLA	1.182660308	0.002358896
ST3GAL1	1.182478176	0.000807624
ZC3H3	1.181246218	0.000477101
KIAA1586	1.181213375	0.000104016
YIPF3	1.179966291	0.01288728
NEK2	1.179094939	3.07E-05
DHRS1	1.178284203	0.000711874
PNPLA6	1.175286034	5.31E-05
AQP3	1.174845837	0.000751839
PHF23	1.174727708	0.007148169
SGMS1	1.173857134	0.00863736
NUB1	1.173065412	0.010644523
ORMDL3	1.172988376	0.001105697
UTY	1.172715329	6.80E-05
AMBRA1	1.172265821	0.012402633
MKI67	1.171827111	8.58E-06
SH3GLB2	1.169388495	0.000902621
WDR19	1.169371804	0.010168765
FBXO33	1.168696378	0.029665068
CHPF2	1.167874855	0.002232021
EDA2R	1.167593915	0.039524481
NT5C2	1.166365435	0.019349435
RNA18S5	1.165512225	0.027241987
KMT2E	1.165440644	0.000927311
RFX3	1.163423581	0.006023908
ATP6V0B	1.16109764	5.87E-05
TANGO2	1.160997338	0.000409454
PDLIM7	1.160813832	0.008595631
ASB1	1.160525914	4.36E-05
TMEM9B	1.159539527	0.008991611
STX18	1.156961608	0.040863421
SCYL1	1.156883371	0.004747726
ZNF777	1.156287696	0.032699322
UCP2	1.15557043	0.002827403
LOC401261	1.155165516	0.014525641
TTC17	1.154888386	0.000345672
KPNA6	1.154679679	3.93E-05
OGDH	1.154397596	0.0131177
RGS6	1.153953892	0.006577325
FBXO48	1.153149027	0.036002635
RALGDS	1.152749723	3.35E-05
TRANK1	1.151468271	0.015198022
CKAP2	1.150162842	2.36E-05
KLHL28	1.149555723	0.001242293
TIMM23B	1.149509338	0.000666213
HJURP	1.149331989	0.000122648
OSTM1	1.149111253	0.001482826
PI4KAP1	1.149065175	0.001400037
LINC00152	1.148183836	6.64E-05
PET100	1.145115545	0.000367981
PARTICL	1.144242684	0.005158069
SYF2	1.144071904	0.000733167
AK1	1.143333369	0.00021589
ZNF800	1.141037318	0.00015684
6-Mar	1.141022443	5.37E-05
ERN1	1.140857398	0.04504901
GPSM2	1.13880118	0.000357757
ATP6V1A	1.138777656	0.001566183
UBXN7	1.138613313	0.001787065
LYSMD3	1.138509595	0.003097225
ABCB10	1.138220595	0.000507967
FUCA1	1.138021618	0.00872818
KIF23	1.137746061	0.000087911
FNIP1	1.137388579	0.000625586
XIAP	1.137097614	0.001525483
KDM4C	1.13639473	0.007458824
PBX2	1.135555211	0.036901045
CASC3	1.135383774	0.001566183
ELL3	1.135335923	0.034876113
SLX4	1.135053591	0.004584946
NDST2	1.133435505	0.004277598
USP32P1	1.133011328	9.43E-05
PTAR1	1.132703244	0.000861866
JAK2	1.131497381	0.000324846
ZC3H11A	1.13147827	7.43E-05
GLTSCR1L	1.131421859	0.002860485
BCL3	1.131258001	0.021728969
NFKB2	1.130794566	0.000287774
ZFYVE21	1.12881972	5.96E-05
ARHGAP33	1.128554222	4.42E-05
CIART	1.128130961	0.035234012
MZF1	1.127870431	0.000121877
AGTPBP1	1.126986831	0.00265204
HLA-B	1.126414316	0.023263167
GPLD1	1.126234927	0.042186675
HIST1H4E	1.125073799	0.046699994
DIP2A	1.123704051	0.001728125
POC1B	1.12168249	7.63E-05
KIDINS220	1.121479238	0.003365179
STAG2	1.121241623	0.000661147
HIPK3	1.120599431	0.000767147
